"日付け","終値","始値","高値","安値","出来高","前日比%"
"2019年11月19日","23,292.65","23,366.36","23,389.53","23,244.93","642.31M","-0.53%"
"2019年11月18日","23,416.76","23,304.25","23,420.62","23,271.29","573.00M","0.49%"
"2019年11月15日","23,303.32","23,160.53","23,340.77","23,121.59","721.80M","0.70%"
"2019年11月14日","23,141.55","23,325.50","23,360.06","23,062.16","799.02M","-0.76%"
"2019年11月13日","23,319.87","23,439.25","23,452.63","23,270.93","634.08M","-0.85%"
"2019年11月12日","23,520.01","23,336.37","23,545.70","23,312.25","629.78M","0.81%"
"2019年11月11日","23,331.84","23,422.13","23,471.82","23,323.02","615.31M","-0.26%"
"2019年11月08日","23,391.87","23,550.04","23,591.09","23,313.41","945.63M","0.26%"
"2019年11月07日","23,330.32","23,283.14","23,336.00","23,253.32","709.13M","0.11%"
"2019年11月06日","23,303.82","23,343.51","23,352.56","23,246.57","774.06M","0.22%"
"2019年11月05日","23,251.99","23,118.79","23,328.52","23,090.94","1.02B","1.76%"
"2019年11月01日","22,850.77","22,730.49","22,852.72","22,705.60","654.07M","-0.33%"
"2019年10月31日","22,927.04","22,910.10","22,988.80","22,875.50","783.15M","0.37%"
"2019年10月30日","22,843.12","22,953.17","22,961.23","22,827.93","1.02B","-0.57%"
"2019年10月29日","22,974.13","22,950.79","23,008.43","22,935.35","728.98M","0.47%"
"2019年10月28日","22,867.27","22,854.44","22,896.22","22,830.57","481.23M","0.30%"
"2019年10月25日","22,799.81","22,753.24","22,819.92","22,715.13","571.58M","0.22%"
"2019年10月24日","22,750.60","22,725.44","22,780.99","22,704.33","612.71M","0.55%"
"2019年10月23日","22,625.38","22,619.77","22,648.81","22,457.89","680.22M","0.34%"
"2019年10月21日","22,548.90","22,541.22","22,581.28","22,515.73","484.20M","0.25%"
"2019年10月18日","22,492.68","22,528.56","22,649.85","22,466.26","592.38M","0.18%"
"2019年10月17日","22,451.86","22,451.15","22,522.39","22,424.92","578.29M","-0.09%"
"2019年10月16日","22,472.92","22,479.57","22,615.47","22,434.35","787.21M","1.20%"
"2019年10月15日","22,207.21","22,063.71","22,219.63","22,049.71","744.61M","1.87%"
"2019年10月11日","21,798.87","21,749.93","21,820.77","21,658.27","673.99M","1.15%"
"2019年10月10日","21,551.98","21,456.27","21,601.46","21,308.88","599.29M","0.45%"
"2019年10月09日","21,456.38","21,359.84","21,467.77","21,359.84","554.12M","-0.61%"
"2019年10月08日","21,587.78","21,494.48","21,629.24","21,483.18","607.85M","0.99%"
"2019年10月07日","21,375.25","21,445.73","21,475.28","21,328.26","474.43M","-0.16%"
"2019年10月04日","21,410.20","21,316.18","21,410.20","21,276.01","577.50M","0.32%"
"2019年10月03日","21,341.74","21,422.22","21,437.74","21,277.36","677.11M","-2.01%"
"2019年10月02日","21,778.61","21,744.62","21,795.01","21,725.23","633.26M","-0.49%"
"2019年10月01日","21,885.24","21,831.44","21,938.77","21,811.98","623.26M","0.59%"
"2019年09月30日","21,755.84","21,793.83","21,811.98","21,666.60","698.59M","-0.56%"
"2019年09月27日","21,878.90","21,934.93","21,955.79","21,733.69","763.94M","-0.77%"
"2019年09月26日","22,048.24","22,160.52","22,184.91","21,986.24","816.31M","0.13%"
"2019年09月25日","22,020.15","21,961.82","22,036.48","21,906.00","616.06M","-0.36%"
"2019年09月24日","22,098.84","22,095.35","22,168.74","22,077.94","683.76M","0.09%"
"2019年09月20日","22,079.09","22,130.74","22,204.75","22,047.90","850.33M","0.16%"
"2019年09月19日","22,044.45","22,064.46","22,255.56","22,003.30","781.60M","0.38%"
"2019年09月18日","21,960.71","22,014.65","22,027.86","21,942.03","693.98M","-0.18%"
"2019年09月17日","22,001.32","21,947.59","22,041.08","21,878.63","815.24M","0.06%"
"2019年09月13日","21,988.29","21,907.83","22,019.66","21,820.94","1.16B","1.05%"
"2019年09月12日","21,759.61","21,761.09","21,825.92","21,743.96","960.34M","0.75%"
"2019年09月11日","21,597.76","21,466.66","21,619.21","21,437.82","1.10B","0.96%"
"2019年09月10日","21,392.10","21,363.57","21,438.35","21,350.35","923.75M","0.35%"
"2019年09月09日","21,318.42","21,214.56","21,333.51","21,182.26","578.11M","0.56%"
"2019年09月06日","21,199.57","21,201.83","21,241.29","21,145.81","710.96M","0.54%"
"2019年09月05日","21,085.94","20,800.29","21,164.61","20,787.93","829.63M","2.12%"
"2019年09月04日","20,649.14","20,578.67","20,694.35","20,554.16","515.28M","0.12%"
"2019年09月03日","20,625.16","20,581.58","20,662.23","20,578.02","453.52M","0.02%"
"2019年09月02日","20,620.19","20,625.75","20,667.56","20,614.29","423.99M","-0.41%"
"2019年08月30日","20,704.37","20,641.49","20,748.35","20,633.30","719.95M","1.19%"
"2019年08月29日","20,460.93","20,500.50","20,520.68","20,361.12","550.71M","-0.09%"
"2019年08月28日","20,479.42","20,474.31","20,511.21","20,433.31","514.89M","0.11%"
"2019年08月27日","20,456.08","20,467.22","20,529.94","20,439.92","607.85M","0.96%"
"2019年08月26日","20,261.04","20,325.44","20,329.01","20,173.76","698.51M","-2.17%"
"2019年08月23日","20,710.91","20,579.98","20,719.31","20,579.98","507.02M","0.40%"
"2019年08月22日","20,628.01","20,706.07","20,731.19","20,584.29","546.33M","0.05%"
"2019年08月21日","20,618.57","20,489.97","20,626.05","20,482.62","529.84M","-0.28%"
"2019年08月20日","20,677.22","20,605.35","20,684.06","20,582.01","501.32M","0.55%"
"2019年08月19日","20,563.16","20,590.47","20,633.90","20,502.66","505.71M","0.71%"
"2019年08月16日","20,418.81","20,323.97","20,465.71","20,300.35","584.39M","0.06%"
"2019年08月15日","20,405.65","20,324.25","20,419.88","20,184.85","681.69M","-1.21%"
"2019年08月14日","20,655.13","20,669.99","20,697.42","20,581.17","609.36M","0.98%"
"2019年08月13日","20,455.44","20,432.68","20,503.38","20,369.27","729.38M","-1.11%"
"2019年08月09日","20,684.82","20,758.15","20,782.06","20,676.92","657.21M","0.44%"
"2019年08月08日","20,593.35","20,529.29","20,682.24","20,462.98","667.82M","0.37%"
"2019年08月07日","20,516.56","20,548.07","20,570.19","20,406.52","758.84M","-0.33%"
"2019年08月06日","20,585.31","20,325.52","20,607.83","20,110.76","925.44M","-0.65%"
"2019年08月05日","20,720.29","20,909.98","20,941.83","20,514.19","884.51M","-1.74%"
"2019年08月02日","21,087.16","21,211.06","21,211.06","20,960.09","942.98M","-2.11%"
"2019年08月01日","21,540.99","21,361.58","21,556.69","21,288.90","780.37M","0.09%"
"2019年07月31日","21,521.53","21,526.38","21,589.11","21,476.07","788.83M","-0.86%"
"2019年07月30日","21,709.31","21,681.82","21,792.98","21,665.86","562.22M","0.43%"
"2019年07月29日","21,616.80","21,627.55","21,652.95","21,518.70","485.15M","-0.19%"
"2019年07月26日","21,658.15","21,700.20","21,709.74","21,590.66","490.60M","-0.45%"
"2019年07月25日","21,756.55","21,715.95","21,823.07","21,715.69","483.83M","0.22%"
"2019年07月24日","21,709.57","21,726.98","21,744.88","21,677.71","526.96M","0.41%"
"2019年07月23日","21,620.88","21,425.44","21,686.53","21,411.93","495.76M","0.95%"
"2019年07月22日","21,416.79","21,394.75","21,445.03","21,317.85","483.50M","-0.23%"
"2019年07月19日","21,466.99","21,146.50","21,474.30","21,121.90","597.08M","2.00%"
"2019年07月18日","21,046.24","21,336.80","21,347.84","20,993.44","723.96M","-1.97%"
"2019年07月17日","21,469.18","21,474.63","21,488.27","21,380.55","549.15M","-0.31%"
"2019年07月16日","21,535.25","21,644.38","21,655.52","21,514.89","513.07M","-0.69%"
"2019年07月12日","21,685.90","21,720.14","21,720.14","21,589.83","467.99M","0.20%"
"2019年07月11日","21,643.53","21,547.19","21,649.93","21,532.57","510.94M","0.51%"
"2019年07月10日","21,533.48","21,499.46","21,601.86","21,488.22","607.16M","-0.15%"
"2019年07月09日","21,565.15","21,598.15","21,687.29","21,508.22","555.54M","0.14%"
"2019年07月08日","21,534.35","21,665.79","21,672.65","21,499.57","534.58M","-0.98%"
"2019年07月05日","21,746.38","21,703.61","21,746.38","21,647.73","461.63M","0.20%"
"2019年07月04日","21,702.45","21,740.93","21,755.63","21,672.50","389.85M","0.30%"
"2019年07月03日","21,638.16","21,684.07","21,708.72","21,566.65","567.02M","-0.53%"
"2019年07月02日","21,754.27","21,699.43","21,784.22","21,697.31","564.11M","0.11%"
"2019年07月01日","21,729.97","21,566.27","21,758.34","21,559.17","689.82M","2.13%"
"2019年06月28日","21,275.92","21,282.22","21,324.93","21,199.85","639.83M","-0.29%"
"2019年06月27日","21,338.17","21,156.88","21,338.17","21,123.97","632.28M","1.19%"
"2019年06月26日","21,086.59","21,067.68","21,129.64","21,035.84","519.06M","-0.51%"
"2019年06月25日","21,193.81","21,238.07","21,313.77","21,114.47","556.11M","-0.43%"
"2019年06月24日","21,285.99","21,223.56","21,317.86","21,185.67","445.42M","0.13%"
"2019年06月21日","21,258.64","21,487.67","21,497.82","21,221.70","918.21M","-0.95%"
"2019年06月20日","21,462.86","21,417.74","21,491.39","21,377.27","573.61M","0.60%"
"2019年06月19日","21,333.87","21,223.17","21,358.72","21,213.43","660.88M","1.72%"
"2019年06月18日","20,972.71","21,111.77","21,153.65","20,924.19","562.67M","-0.72%"
"2019年06月17日","21,124.00","21,094.96","21,185.25","21,044.62","505.82M","0.03%"
"2019年06月14日","21,116.89","21,049.41","21,119.73","20,971.18","623.44M","0.40%"
"2019年06月13日","21,032.00","21,040.91","21,111.23","20,932.13","677.08M","-0.46%"
"2019年06月12日","21,129.72","21,130.39","21,259.70","21,118.75","582.36M","-0.35%"
"2019年06月11日","21,204.28","21,099.54","21,227.18","21,066.62","536.72M","0.33%"
"2019年06月10日","21,134.42","21,095.40","21,166.12","21,077.95","599.68M","1.20%"
"2019年06月07日","20,884.71","20,859.78","20,907.77","20,816.58","522.70M","0.53%"
"2019年06月06日","20,774.04","20,745.84","20,842.28","20,745.84","614.23M","-0.01%"
"2019年06月05日","20,776.10","20,667.89","20,800.64","20,646.15","744.71M","1.80%"
"2019年06月04日","20,408.54","20,435.86","20,464.57","20,289.64","713.00M","-0.01%"
"2019年06月03日","20,410.88","20,327.87","20,438.03","20,305.74","695.25M","-0.92%"
"2019年05月31日","20,601.19","20,785.21","20,823.10","20,581.58","814.51M","-1.63%"
"2019年05月30日","20,942.53","20,881.50","20,942.53","20,809.29","604.99M","-0.29%"
"2019年05月29日","21,003.37","21,055.42","21,071.73","20,884.61","721.55M","-1.21%"
"2019年05月28日","21,260.14","21,187.17","21,297.70","21,177.27","1.02B","0.37%"
"2019年05月27日","21,182.58","21,148.46","21,232.38","21,113.76","429.01M","0.31%"
"2019年05月24日","21,117.22","20,980.79","21,117.22","20,922.00","698.31M","-0.16%"
"2019年05月23日","21,151.14","21,180.24","21,209.56","21,072.72","658.64M","-0.62%"
"2019年05月22日","21,283.37","21,373.52","21,404.54","21,266.98","665.38M","0.05%"
"2019年05月21日","21,272.45","21,211.26","21,318.80","21,160.43","723.21M","-0.14%"
"2019年05月20日","21,301.73","21,305.97","21,430.06","21,282.65","671.33M","0.24%"
"2019年05月17日","21,250.09","21,246.86","21,398.85","21,199.98","780.73M","0.89%"
"2019年05月16日","21,062.98","21,153.20","21,153.20","20,951.67","849.62M","-0.59%"
"2019年05月15日","21,188.56","21,112.85","21,191.53","20,968.08","866.63M","0.58%"
"2019年05月14日","21,067.23","20,870.77","21,077.48","20,751.45","929.62M","-0.59%"
"2019年05月13日","21,191.28","21,180.74","21,277.66","21,127.93","768.21M","-0.72%"
"2019年05月10日","21,344.92","21,431.81","21,584.09","21,175.33","1.02B","-0.27%"
"2019年05月09日","21,402.13","21,492.91","21,559.76","21,315.07","999.11M","-0.93%"
"2019年05月08日","21,602.59","21,628.04","21,639.12","21,514.85","884.46M","-1.46%"
"2019年05月07日","21,923.72","22,184.40","22,190.49","21,875.11","934.91M","-1.51%"
"2019年04月26日","22,258.73","22,167.48","22,270.29","22,073.10","740.80M","-0.22%"
"2019年04月25日","22,307.58","22,183.32","22,334.69","22,155.23","652.75M","0.48%"
"2019年04月24日","22,200.00","22,356.83","22,362.92","22,125.48","700.36M","-0.27%"
"2019年04月23日","22,259.74","22,241.74","22,268.37","22,119.94","535.79M","0.19%"
"2019年04月22日","22,217.90","22,188.62","22,280.19","22,099.38","441.69M","0.08%"
"2019年04月19日","22,200.56","22,238.07","22,250.37","22,162.23","498.21M","0.50%"
"2019年04月18日","22,090.12","22,274.13","22,305.63","22,058.39","693.55M","-0.84%"
"2019年04月17日","22,277.97","22,236.41","22,345.19","22,185.87","776.60M","0.25%"
"2019年04月16日","22,221.66","22,108.15","22,261.33","22,095.32","590.95M","0.24%"
"2019年04月15日","22,169.11","22,122.97","22,211.03","22,102.93","681.43M","1.37%"
"2019年04月12日","21,870.56","21,782.35","21,878.78","21,698.71","634.65M","0.73%"
"2019年04月11日","21,711.38","21,662.65","21,721.42","21,627.87","630.65M","0.11%"
"2019年04月10日","21,687.57","21,579.68","21,687.57","21,571.67","605.02M","-0.53%"
"2019年04月09日","21,802.59","21,750.29","21,811.88","21,698.42","559.51M","0.19%"
"2019年04月08日","21,761.65","21,900.55","21,900.55","21,740.53","563.26M","-0.21%"
"2019年04月05日","21,807.50","21,743.14","21,839.18","21,731.34","602.89M","0.38%"
"2019年04月04日","21,724.95","21,724.69","21,787.60","21,662.90","596.94M","0.05%"
"2019年04月03日","21,713.21","21,563.64","21,722.72","21,489.95","705.68M","0.97%"
"2019年04月02日","21,505.31","21,744.64","21,744.64","21,490.56","732.24M","-0.02%"
"2019年04月01日","21,509.03","21,500.89","21,682.94","21,471.12","798.21M","1.43%"
"2019年03月29日","21,205.81","21,228.51","21,267.25","21,149.42","635.38M","0.82%"
"2019年03月28日","21,033.76","21,191.32","21,191.32","20,974.19","733.10M","-1.61%"
"2019年03月27日","21,378.73","21,353.61","21,388.59","21,242.52","782.56M","-0.23%"
"2019年03月26日","21,428.39","21,174.34","21,460.99","21,174.34","1.04B","2.15%"
"2019年03月25日","20,977.11","21,267.41","21,275.43","20,911.57","801.45M","-3.01%"
"2019年03月22日","21,627.34","21,713.26","21,713.26","21,542.03","813.48M","0.09%"
